latitude,longitude,distance_from_last_point_m,cumulative_distance_m
40.794900003208,-73.936052515285,86.436,10275.58
40.7955800042793,-73.9355550203788,86.436,10362.016
40.796260003214,-73.935057515281,86.436,10448.452
40.79694,-73.93456,86.436,10534.887
40.79699,-73.93469,12.274,10547.162
40.7976875033908,-73.9341800160596,88.647,10635.809
40.7983850045362,-73.933670021402,88.647,10724.456
40.7990825034362,-73.9331600160269,88.647,10813.103
40.79978,-73.93265,88.647,10901.75
40.79983,-73.93276,10.8,10912.55
40.80051,-73.93226,86.536,10999.086
40.80078,-73.93212,32.253,11031.339
40.80155,-73.93155,98.146,11129.485
40.80154,-73.93155,1.112,11130.597
40.80171,-73.93143,21.432,11152.03
40.8021100035539,-73.9323449943484,88.937,11240.967
40.80251,-73.93326,88.937,11329.905
40.80259,-73.93348,20.543,11350.448
40.80261,-73.93349,2.378,11352.826
40.80261,-73.93354,4.209,11357.034
40.80304,-73.93455,97.536,11454.57
40.8034733422422,-73.9355666533569,98.206,11552.776
40.8039066755612,-73.9365833199897,98.206,11650.981
40.80434,-73.9376,98.206,11749.187
40.8047440161741,-73.9385679764175,93.038,11842.225
40.8051480242588,-73.9395359646203,93.038,11935.263
40.8055520242542,-73.9405039646085,93.038,12028.301
40.8059560161598,-73.9414719763821,93.038,12121.338
40.80636,-73.94244,93.038,12214.376
40.8070240040837,-73.9419540194476,84.407,12298.783
40.8076880061283,-73.9414680291699,84.407,12383.19
40.8083520061338,-73.9409820291663,84.407,12467.596
40.8090160041001,-73.9404960194365,84.407,12552.003
40.80968,-73.94001,84.407,12636.41
40.8102650007935,-73.9396000035672,73.635,12710.044
40.81085,-73.93919,73.635,12783.679
40.811,-73.93911,17.987,12801.665
40.8117340050563,-73.9385680239957,93.498,12895.164
40.8124680075766,-73.938026036,93.498,12988.662
40.8132020075607,-73.9374840360124,93.498,13082.16
40.8139360050085,-73.9369420240323,93.498,13175.659
40.81467,-73.9364,93.498,13269.157
40.81492,-73.93624,30.888,13300.045
40.81546,-73.93583,69.253,13369.298
40.8160266681689,-73.9354200069675,71.838,13441.136
40.8165933348866,-73.9350100069307,71.838,13512.975
40.81716,-73.9346,71.838,13584.813
40.81726,-73.93451,13.454,13598.267
40.81758,-73.93432,39.01,13637.276
40.81784,-73.93432,28.911,13666.187
40.81789,-73.93436,6.499,13672.686
40.81794,-73.93435,5.623,13678.31
40.8179,-73.93425,9.518,13687.828
40.8182933407271,-73.9351766556297,89.407,13777.235
40.8186866740403,-73.9361033222488,89.407,13866.643
40.81908,-73.93703,89.408,13956.05
40.8195850005228,-73.9366600028668,64.208,14020.258
40.82009,-73.93629,64.208,14084.465
40.82009,-73.9363,0.841,14085.307
40.82028,-73.93615,24.61,14109.917
40.8205766710117,-73.9368566604249,68.002,14177.919
40.8208733377118,-73.9375633271711,68.002,14245.92
40.82117,-73.93827,68.002,14313.922
40.82146,-73.93895,65.681,14379.603
40.82165,-73.93882,23.791,14403.394
40.8220360144314,-73.9397339787368,88.075,14491.469
40.8224220216503,-73.9406479681122,88.075,14579.544
40.8228080216565,-73.9415619681263,88.075,14667.619
40.8231940144497,-73.942475978779,88.075,14755.694
40.82358,-73.94339,88.075,14843.769
40.82375,-73.94378,37.871,14881.64
40.8245050039304,-73.9432300187747,95.863,14977.502
40.8252600052492,-73.9426800250272,95.863,15073.365
40.8260150039561,-73.9421300187567,95.863,15169.227
40.82677,-73.94158,95.863,15265.09
40.82674,-73.9415,7.512,15272.602
40.8273675025529,-73.9410525127327,79.286,15351.888
40.8279950033768,-73.9406050169964,79.286,15431.174
40.8286225024716,-73.940157512791,79.286,15510.459
40.82925,-73.93971,79.286,15589.745
40.82925,-73.93972,0.841,15590.586
40.82935,-73.93965,12.583,15603.169
40.82952,-73.9396,19.366,15622.535
40.8297,-73.93961,20.033,15642.567
40.8298,-73.93965,11.618,15654.185
40.82978,-73.93972,6.295,15660.48
40.82991,-73.93981,16.319,15676.799
40.83017,-73.9401,37.831,15714.63
40.8302,-73.94006,4.739,15719.368
40.83026,-73.94003,7.133,15726.501
40.83041,-73.93998,17.202,15743.703
40.8304,-73.93995,2.758,15746.461
40.83076,-73.93987,40.592,15787.053
40.8309,-73.93978,17.311,15804.364
40.83129,-73.93944,51.951,15856.315
40.83128,-73.93944,1.112,15857.427
40.83159,-73.9392,39.949,15897.376
40.83201,-73.93902,49.096,15946.472
40.8323,-73.93886,34.943,15981.416
40.83232,-73.93889,3.364,15984.78
40.83279,-73.93854,59.986,16044.766
40.83308,-73.93826,39.935,16084.701
40.8334500009699,-73.937810002395,55.911,16140.611
40.83382,-73.93736,55.911,16196.522
40.83393,-73.93715,21.488,16218.01
40.834275000955,-73.9367000022364,53.898,16271.908
40.83462,-73.93625,53.898,16325.805
40.83465,-73.93634,8.274,16334.079
40.83469,-73.93633,4.527,16338.606
40.8352850026011,-73.9355700066838,92.007,16430.613
40.83588,-73.93481,92.007,16522.621
